timestamp,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,personality
2025-12-07T12:01:22,2,3,2,3,6,7,6,4,6,3,4,7,5,3,9,Introvert
2025-12-07T12:02:18,8,9,9,7,5,5,6,6,5,8,9,7,6,6,3,Extrovert
2025-12-07T12:03:11,5,6,5,5,7,6,7,5,7,4,5,6,6,4,7,Ambivert
2025-12-07T12:04:03,1,2,2,2,6,6,7,3,5,2,3,7,6,2,9,Introvert
2025-12-07T12:05:48,9,8,9,9,5,6,6,7,6,9,8,6,7,8,4,Extrovert
2025-12-07T12:06:50,4,5,4,4,6,7,7,5,6,5,4,5,6,5,7,Ambivert
2025-12-07T12:07:55,3,2,3,2,7,7,8,3,6,3,2,8,7,3,8,Introvert
2025-12-07T12:08:40,10,9,10,8,4,5,6,7,5,10,9,6,6,7,2,Extrovert
2025-12-07T12:09:33,6,5,6,5,6,6,6,5,6,5,6,6,5,5,6,Ambivert
2025-12-07T12:10:21,2,3,3,2,5,5,8,3,5,3,4,8,7,4,9,Introvert
2025-12-07T12:11:12,9,10,9,10,4,4,5,7,4,9,10,5,5,8,3,Extrovert
2025-12-07T12:12:08,6,6,5,5,7,7,6,5,7,5,6,6,7,4,6,Ambivert
2025-12-07T12:13:00,3,2,2,3,6,7,8,3,6,3,2,7,7,3,9,Introvert
2025-12-07T12:14:05,10,9,10,8,5,4,6,8,5,10,10,6,6,7,3,Extrovert
2025-12-07T12:15:14,5,5,6,5,7,6,7,5,6,5,6,5,6,4,7,Ambivert
2025-12-07T12:16:09,1,2,1,2,6,7,8,3,6,2,3,8,7,3,9,Introvert
2025-12-07T12:17:02,8,9,9,8,5,5,6,7,5,9,9,6,6,7,3,Extrovert
2025-12-07T12:18:15,5,6,5,6,7,7,6,5,7,5,6,6,7,5,6,Ambivert
2025-12-07T12:19:22,3,3,2,3,6,7,8,3,7,3,4,8,7,4,9,Introvert
2025-12-07T12:20:11,9,8,10,9,5,4,6,7,5,10,9,6,5,7,2,Extrovert

