PC,ExplainedVariance
PC1,0.416453540314892
PC2,0.03415618538936208
PC3,0.033627493161548734
PC4,0.03319305733618159
PC5,0.03130467381314925
PC6,0.031247711465352282
PC7,0.02652371907170075
PC8,0.02619467350341409
PC9,0.025809121346371013
PC10,0.02552944098059949
PC11,0.024966037750145654
PC12,0.020764284165406988
PC13,0.020469502455261215
PC14,0.020384171242739224
PC15,0.020369802640833136
PC16,0.020054421983195653
PC17,0.019894728586637603
PC18,0.01861989186124527
PC19,0.015793056589222754
PC20,0.015614593087926069
PC21,0.015514843073617952
