,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21
social_energy,0.23316344377872347,0.00045374111326436655,0.007233312832054855,0.008424505469979821,-0.005879035076018412,-0.020400323719865988,-0.004820556992043216,0.006124366705008084,-0.02607402290577659,0.0063890019447790285,-0.0522630881394698,0.0024491022954152043,-0.025505821727180546,-0.010494392379938865,-0.021816131598560048,-0.035864240941857146,0.008591749112682932,-0.12193949971889491,-0.0217194251032697,0.05816364738361317,0.017178212981437152
alone_time_preference,-0.23522496308824203,-0.006495672712347824,0.00024503059534765743,-0.014681923882038844,-0.0014998430080813486,0.021794950626682567,0.017814286247020764,0.0019610274949973935,0.01842728959594383,-0.019829979977214786,0.02672964987330242,0.01967852538778921,0.002428059265726621,-0.03494326927406946,-0.002547997960564636,0.030437486329411876,-0.006878457475920605,0.08334646711014125,0.00549647474191099,0.02882051066856279,-0.018612912095239683
talkativeness,0.2347566065754643,-0.005706420569884161,0.0007421017959801523,0.005384822092143499,0.010514742287050705,-0.017407449220995325,-0.02484645260298705,-0.00407628741036731,-0.028726803153916257,0.006667336799282494,-0.03301109436361038,0.017455765607154526,-0.01656313778858113,0.021407874008492263,-0.01070172072128825,-0.0068308718308028454,0.011279793621571986,-0.10139872387111412,-0.004491741707185876,0.030569474859964647,0.04285507711855897
deep_reflection,-0.2145957207024737,0.0006091429652039662,0.011289496041646533,-0.0221963267304248,0.0050795120152794795,0.025992748373607162,-0.007714375581479492,0.007635685931082319,0.022149546251853412,0.004631758846710895,0.021881624049026917,-0.032609686428659274,0.042427968702180734,-0.04848335935547419,0.027695495750586028,0.026061313945855855,0.051493986397681844,0.23950464611335634,0.5921068983423045,0.11817233536982093,0.6607494278448802
group_comfort,0.21695348854717267,0.010154353486027284,0.003592151621167026,0.000335637386691333,0.02340870004509454,-0.013290526673176246,-0.008815142937252362,0.009857008645395796,-0.020173886840108533,-0.0020231781117171213,-0.026966645006108868,0.003713579736287866,-0.0482449610058348,0.01584032070071984,-0.023549668084642043,0.04144057401234658,-0.023757011199010584,-0.13658766139532,0.04982928564267869,-0.44154417016463104,0.32307572572074067
party_liking,0.24708325714410995,0.0024808569691225583,-0.01081738240573717,0.0012634363381360254,-0.00699462264754564,-0.02696376896035982,-0.010358454409304342,-0.006347077000560422,-0.024053301276157252,0.012889348239726681,-0.03715694719087623,-0.010731594192617433,-0.0125299956218611,0.013147352836240446,-0.0041073371715142065,-0.003111171767979991,0.007130832238137267,-0.08552910914655726,-0.016720886025893163,-0.016301219640134187,0.008231586862585651
listening_skill,-0.14328302459224518,-0.01634113269391459,-0.06445120967557304,-0.01975996681202432,-0.01285965468699702,0.051389873104357386,0.2401755981900635,-0.6778632745116158,0.10747039903154006,0.5651847027407461,-0.3310203261515702,0.011301008802879028,-0.001571473705013297,-0.03545007434501734,0.016440363295903353,-0.03490036600291452,0.02540957278274646,-0.08515151772115129,-0.017087640678675065,-0.02872123847022935,0.005181628125102651
empathy,-0.0775508423668871,-0.10942242097861644,-0.16265706424399393,0.032252146143462196,0.6933753956068246,-0.6837385036837474,-0.00023644154391743396,-0.03455648366156361,-0.03546192288790393,0.015143334988149884,0.02108290467829969,-0.015010141191747324,0.022906168353858163,0.004503892162542841,-0.0342991506041082,0.007948701103102345,0.006362120861631845,-0.012325345945964896,-0.010571921571864982,-0.00609689433980371,0.007181424357368846
creativity,0.0010678961995128366,0.5591452611132771,0.6445128451757629,-0.48001404321812563,0.1608341468755968,-0.10092036843690713,-0.007325965576662425,-0.05822604046543489,0.0006609642784368948,0.011604070578540257,-0.012819374268100479,0.01844069558881554,-0.01761141042815068,-0.0034389984192112017,0.004686878892312301,-0.01303141188801929,0.002273169997892083,0.010096702360623752,-0.013852624969134428,-0.005548549601657581,-0.011213685682427987
organization,-0.1425218411006127,-0.008523536594894287,0.056616469776746836,0.011010095971566252,0.005549940584795392,-0.04164460431501456,0.22795223711216833,0.6925255915401468,0.15302750736969006,0.3457904696019769,-0.5340263677578188,0.014939472883064882,-0.012986219760528883,-0.033213870929839025,0.008570648607885579,-0.006515833165660712,-0.023522015683080995,-0.10514157208689001,0.003411549204010827,-0.013345315225278747,-0.010362073510074388
leadership,0.2162370976581656,-0.004329675257917206,0.002275270702695179,-0.007023191457545962,-0.0133381758298554,-0.00449437874997087,-0.0027643708721284653,-0.009605862589122832,-0.017539729897830487,0.01974113968322672,-0.04136373195816762,0.032485374511603125,-0.015966375971512844,0.03928026681028953,-0.021106347301210887,0.016819084778011903,-0.023061424760252285,-0.24168523358580415,-0.07553980164166633,-0.05173554467941284,0.1721750147588947
risk_taking,0.213974870696706,0.0009061051192635032,0.004961747097083893,0.006910690697739002,0.00936600370969918,-0.030566852134541068,-0.03515650395978228,-0.028317948149201418,-0.01949351373376032,0.019052593724311014,-0.05757831979962781,0.001972542620327715,-0.023321042234064168,-0.019051673814636752,-0.07173564951242897,-0.027418241873216242,0.04401004377677963,-0.2310557073407674,0.751394270720424,0.21606229012848877,-0.44543611713996495
public_speaking_comfort,0.23493998449613732,-0.009362017607163287,-0.0006058072441659125,-0.0021872077909928234,0.0003758984665761249,-0.013043363362990536,-0.02215191674048381,-0.004722895221700211,-0.02211572062685441,0.02392337934448079,-0.04190241322983982,0.005783542991345495,0.01710114951405037,0.0005106019420802311,-0.03153577087972295,-0.02878295326675301,-0.006680153318015985,-0.12071416980972188,0.0019019807208849487,-0.013290475223892125,-0.02828195311985019
curiosity,0.07612051794301965,-0.15993033865493267,0.019262831164752907,-0.08296515698152235,0.6827271158583379,0.6972253429303727,0.050831710333141114,0.04367664359126788,0.01586519722197508,0.006906132831128423,0.015920018808495577,0.0016158734979994246,-0.0004212615210182712,0.00810075765159106,0.025469457361191005,0.010243416914929058,0.03208819200706635,0.028985089080253434,0.0003326844026822365,-0.0029952924645832066,-0.030326165906374963
routine_preference,-0.18766768481171972,0.0065367545886490614,0.02116086262392038,-0.013534624807826934,-0.023322216284157683,0.03572198095230469,0.04850086083566715,0.03107313613429344,0.10568078522755175,-0.037965370180680656,0.11279663594209295,-0.06508302223411999,0.43711709849318614,0.3165260836970821,-0.44264059612790063,-0.1721086422947354,0.5654101438605508,-0.28928330048426987,-0.047401021655170295,0.006737343916843807,0.037009655856046236
excitement_seeking,0.23378997235127155,0.005157717796595722,0.005965395147570267,-0.0068958907028437155,0.0019831868677256635,-0.029056131558823233,-0.02021113841650406,-0.010897382749681496,-0.027556666035770866,0.024298363286720817,-0.03582666495698043,0.003830695175899945,0.003185670970134987,0.007110956182787941,-0.00047829834690013345,0.0012354507095977427,-0.0033493452367847876,-0.09895268982872386,0.021566732578010322,0.028627397298881956,-0.0160649438127913
friendliness,0.1438897957337385,-0.0008040250916849016,0.02363992110367547,-0.009817547934995336,-0.04624396150383334,-0.04324252391892963,0.6610025436392114,0.14905665098299908,-0.21811293322815453,0.3375363071548067,0.5864601707274326,0.04312938701846917,0.01776790819551364,-0.014398020191244417,0.004303289429362184,0.00192766220299695,-0.028995744722693978,0.06731613098734368,0.029309029220108633,0.02744366609994843,-0.0068086903663521535
