personality_type,social_energy,alone_time_preference,talkativeness,deep_reflection,group_comfort,party_liking,listening_skill,empathy,creativity,leadership,risk_taking,public_speaking_comfort,curiosity,routine_preference,excitement_seeking,friendliness,emotional_stability,spontaneity,adventurousness,travel_desire,work_style_collaborative
Extrovert,6.79429523,3.854670018,8.725445613,2.515150904,7.097368316,8.588761626,6.774798988,6.430131761,6.142968278,8.486190583,6.888587526,8.618033415,5.514367007,4.247435935,8.916668309,8.370775935,4.919930585,4.853313459,8.257133815,4.816422032,8.313589961
Ambivert,6.378987653,5.73115721,7.029529215,7.274493006,4.111199091,3.258247526,5.55090932,3.958179166,6.149457274,6.214741917,4.877223702,5.018525602,6.17089221,6.304219373,6.494121734,9.127521467,4.585075032,6.067200559,6.289347112,4.725666028,5.890619184
Ambivert,7.459420714,6.322263466,3.92226872,4.622260729,5.343275832,7.452152154,9.483990446,6.127654019,7.032016865,3.034191692,4.312375577,6.474163848,6.179085433,4.930448663,4.054730473,7.602896573,5.651974638,5.524244152,9.238783566,6.139166252,5.807500228
Extrovert,6.159626486,3.097837473,6.019092935,1.965440371,7.837140244,10,9.436733419,8.949684328,8.923875115,10,8.203099643,7.269755025,5.477594313,2.284053603,9.442942154,10,6.622884167,4.327018021,8.489791372,6.370055535,6.671780719
Introvert,5.568461593,6.986722433,3.913239747,9.926160583,1.650483455,0.36229821,7.470386973,6.756837359,9.507803314,4.452972795,2.456879438,2.779744495,5.13821954,7.04316223,4.149460667,4.628954021,5.283958346,5.187689282,3.167216601,5.534336231,5.832968465
Introvert,2.807173448,6.326097247,2.770085391,5.617670481,4.752116103,0.302629738,7.137656715,5.39915574,4.564804643,2.977163467,4.983357891,2.78930304,6.383135482,9.444365382,4.377930344,5.771032833,5.781525187,3.888344106,1.868406132,4.674632342,3.048723911
Introvert,1.537467923,7.605495939,4.29466645,9.166947194,3.085334946,1.042874384,10,5.899131017,5.423302492,2.759466997,2.067698601,2.285144687,6.160208727,5.133382174,2.708449254,6.21392825,6.950514014,7.906635827,3.173682541,2.745850799,5.695608215
Ambivert,6.63663217,4.350585695,7.131511257,5.455061342,2.530413224,3.081655543,5.177343645,5.692995664,3.95160309,5.938199733,7.731857579,4.759396928,6.275259871,4.118357461,7.18334413,8.332521801,5.006114794,3.643867154,7.601720609,6.990229762,4.680889937
Extrovert,7.330318283,2.820421328,5.224400484,5.053459307,7.969032455,9.106934264,6.717554526,7.061661179,7.591540876,3.016811115,6.048440411,7.021810744,8.816983476,3.661761934,6.790166858,6.105774636,4.966374005,4.459565509,6.996721721,7.513644564,9.300327309
Ambivert,5.377394986,4.762184495,4.244447196,6.39988511,4.781680485,6.074592114,10,5.601564946,4.927993172,2.00376077,4.414150931,4.61679302,7.698936705,5.413746376,5.351087677,10,5.107615832,7.586472067,5.513110605,6.251067253,5.698558854
Introvert,2.393582634,8.628621519,2.812285376,4.890210395,5.521146865,2.385872106,8.536420792,8.845097581,7.622576782,4.960081956,3.903497898,3.266635505,4.100336695,7.109424265,3.823615592,6.313473924,4.822741249,4.030506737,3.020235115,4.267548402,4.6399723
Ambivert,4.274893102,5.573432537,3.964434703,5.527586962,4.484539102,4.522380289,7.243165414,5.877028871,6.310958507,6.503283612,6.546892829,3.027847442,4.924287914,4.956440991,8.375367317,9.054989209,4.737668259,5.783776527,5.279778306,6.845008933,4.613277052
Ambivert,6.585995549,6.171241504,4.790552921,5.633742798,5.18808157,5.408252172,7.175952809,6.807985417,6.978030612,5.18924922,6.880211511,6.829621255,6.302016264,5.902020049,4.654049501,6.378723129,2.841919555,6.408237961,6.445787518,7.209202181,6.058698704
Introvert,2.570547896,8.663577085,1.081982151,8.613609462,4.517437624,1.487206795,9.223207777,5.462308153,7.62883308,6.852241908,1.278191884,0.081340542,7.176709725,5.885330759,1.806420491,8.139629551,5.800913226,1.264546887,2.911541425,3.208995465,3.614360423
Introvert,0.845022312,7.730490434,2.342108311,8.477778027,3.446393753,1.374747255,5.835098582,8.415482149,6.673377647,4.38381305,2.056195488,1.221117289,5.026242656,4.815212083,3.190788968,5.289962874,6.993606244,3.119079837,6.102262443,5.380238548,2.02036
Introvert,3.826590186,7.822495483,1.550952515,7.632254985,2.583018166,1.748300104,9.401769786,7.341441396,2.833047177,5.405519406,3.978259206,5.136345486,8.443061883,7.266767999,3.762802903,5.560378984,4.760109135,6.107744546,6.102050785,5.69975018,2.298757365
Introvert,1.191626473,8.752406732,3.51693593,6.298813364,2.578575546,2.264486699,6.179017302,10,4.702426034,5.949820872,2.204928513,4.249533886,6.006173081,5.45907601,4.686490071,6.097698268,5.545819738,4.094357799,0,3.729763057,3.642444455
Extrovert,6.270109741,6.668908396,9.35363025,4.721667498,9.800145989,8.667545212,4.425072253,5.910942863,8.06646108,8.331285228,8.002749524,4.780266897,6.917807937,7.579979755,6.650131648,8.934121885,4.603702588,8.061176619,6.43924482,7.107110843,5.521067462
Extrovert,9.788909307,1.51630328,8.613118087,5.306738408,7.197944573,6.417227668,4.725790786,4.824244394,6.575491867,10,7.440925866,5.099868442,6.233794964,3.127149374,6.541110183,8.595616417,6.222928216,7.429955122,7.010322005,7.302235595,7.827492625
Introvert,1.205490151,8.062627232,6.896617923,8.496241532,2.197022059,1.742313487,7.695116734,7.198438982,7.167603612,3.534553526,5.217760672,4.006111677,6.515318509,6.426625032,1.390740745,5.753412894,5.056538973,3.821959927,5.731603552,4.152943443,4.807265403
Extrovert,4.525332715,1.206437479,9.408295701,3.670808077,7.622093215,8.046307284,4.424872164,5.059576961,5.81281566,8.266999107,9.162288701,8.03552178,4.522775467,5.377634451,7.184083705,9.185328557,7.248987543,5.989929203,6.350718716,6.013281573,9.165190365
Introvert,3.934292227,7.968631476,4.352024676,7.444341239,3.781085786,1.911150328,7.730047937,8.973542506,8.582819788,5.803190735,5.144701389,2.168272736,6.894189342,10,4.343755117,6.911520871,7.077587798,2.487046581,3.664983163,4.120070729,7.921952451
Introvert,2.544204856,6.988908645,2.876846115,6.623401264,4.861913643,0,8.24040427,2.364196251,8.596513346,6.052874235,3.106985019,4.153753828,5.288980108,7.506847988,3.121075344,6.351527341,6.351384133,4.116051574,4.987213128,4.105346418,7.589317152
Extrovert,7.673517318,2.820140383,7.539713655,4.372605804,6.073707969,7.783771044,7.893054331,6.381290901,6.926258787,8.504127553,6.762860972,7.829767996,5.61594294,4.31411951,7.169559597,7.399375495,7.21275293,7.484700908,7.706576515,6.694759872,9.720900774
Extrovert,7.52824941,3.232965501,9.909661348,4.287558899,10,7.369011299,4.801305009,6.495424134,6.153793968,7.326337519,6.876047209,6.215444088,7.452443185,4.245003743,8.649531452,5.803731654,6.371752429,7.772122159,5.925782228,9.816615134,10
Ambivert,5.847504909,4.765913331,5.120455065,7.254314005,5.187526455,3.718403219,8.059062681,5.206427222,5.676703444,4.912984034,3.307151084,4.056956633,5.562006706,8.056864592,5.968170355,7.132105461,7.89137514,6.686426687,6.768439519,6.026967177,5.281712865
