personality_type,social_energy,alone_time_preference,talkativeness,deep_reflection,group_comfort,party_liking,listening_skill,empathy,creativity,organization,leadership,risk_taking,public_speaking_comfort,curiosity,routine_preference,excitement_seeking,friendliness,emotional_stability,planning,spontaneity,adventurousness,reading_habit,sports_interest,online_social_usage,travel_desire,gadget_usage,work_style_collaborative,decision_speed,stress_handling
Extrovert,6.79429523,3.854670018,8.725445613,2.515150904,7.097368316,8.588761626,6.774798988,6.430131761,6.142968278,0,8.486190583,6.888587526,8.618033415,5.514367007,4.247435935,8.916668309,8.370775935,4.919930585,4.426421738,4.853313459,8.257133815,5.270555286,10,9.154296029,4.816422032,9.191710768,8.313589961,8.032375714,7.176904962
Ambivert,6.378987653,5.73115721,7.029529215,7.274493006,4.111199091,3.258247526,5.55090932,3.958179166,6.149457274,4.530322197,6.214741917,4.877223702,5.018525602,6.17089221,6.304219373,6.494121734,9.127521467,4.585075032,4.604018561,6.067200559,6.289347112,5.753165295,5.334302903,4.683780662,4.725666028,5.956141253,5.890619184,3.158988487,3.423576628
Ambivert,7.459420714,6.322263466,3.92226872,4.622260729,5.343275832,7.452152154,9.483990446,6.127654019,7.032016865,7.092077897,3.034191692,4.312375577,6.474163848,6.179085433,4.930448663,4.054730473,7.602896573,5.651974638,6.269467262,5.524244152,9.238783566,5.250404912,3.153539676,5.000338154,6.139166252,6.033047572,5.807500228,4.571003344,5.647479653
Extrovert,6.159626486,3.097837473,6.019092935,1.965440371,7.837140244,10,9.436733419,8.949684328,8.923875115,5.232693785,10,8.203099643,7.269755025,5.477594313,2.284053603,9.442942154,10,6.622884167,5.566069467,4.327018021,8.489791372,5.312616557,8.379936104,7.601946339,6.370055535,5.410144572,6.671780719,6.600232819,5.87008833
Introvert,5.568461593,6.986722433,3.913239747,9.926160583,1.650483455,0.36229821,7.470386973,6.756837359,9.507803314,6.378051457,4.452972795,2.456879438,2.779744495,5.13821954,7.04316223,4.149460667,4.628954021,5.283958346,4.711944482,5.187689282,3.167216601,7.060234808,2.333387825,7.771568597,5.534336231,5.704597886,5.832968465,5.813099345,3.758083788
Introvert,2.807173448,6.326097247,2.770085391,5.617670481,4.752116103,0.302629738,7.137656715,5.39915574,4.564804643,3.360417537,2.977163467,4.983357891,2.78930304,6.383135482,9.444365382,4.377930344,5.771032833,5.781525187,5.464826788,3.888344106,1.868406132,9.188566762,4.817574074,3.427445796,4.674632342,4.027298759,3.048723911,2.77480933,4.560961569
Introvert,1.537467923,7.605495939,4.29466645,9.166947194,3.085334946,1.042874384,10,5.899131017,5.423302492,8.319798109,2.759466997,2.067698601,2.285144687,6.160208727,5.133382174,2.708449254,6.21392825,6.950514014,6.822373041,7.906635827,3.173682541,9.45801313,2.272046788,5.218916541,2.745850799,4.056359013,5.695608215,3.230286589,6.761266305
Ambivert,6.63663217,4.350585695,7.131511257,5.455061342,2.530413224,3.081655543,5.177343645,5.692995664,3.95160309,9.236595449,5.938199733,7.731857579,4.759396928,6.275259871,4.118357461,7.18334413,8.332521801,5.006114794,6.244406051,3.643867154,7.601720609,5.803109368,5.024010438,7.029383143,6.990229762,7.147859415,4.680889937,5.107636629,7.246736877
Extrovert,7.330318283,2.820421328,5.224400484,5.053459307,7.969032455,9.106934264,6.717554526,7.061661179,7.591540876,7.961516303,3.016811115,6.048440411,7.021810744,8.816983476,3.661761934,6.790166858,6.105774636,4.966374005,5.620066943,4.459565509,6.996721721,5.980063211,9.638288007,5.509409451,7.513644564,8.788241117,9.300327309,8.086807122,5.78490827
Ambivert,5.377394986,4.762184495,4.244447196,6.39988511,4.781680485,6.074592114,10,5.601564946,4.927993172,5.285973324,2.00376077,4.414150931,4.61679302,7.698936705,5.413746376,5.351087677,10,5.107615832,4.530870911,7.586472067,5.513110605,5.950500967,2.328847524,5.644437964,6.251067253,3.539272994,5.698558854,4.079389312,6.609341488
